55 253
41 31 182
10 49 111
47 39 353
11 30 942
35 8 757
32 35 272
22 23 529
3 24 923
3 35 406
14 10 813
47 37 408
8 47 256
43 25 371
48 35 975
29 1 34
55 32 661
3 41 55
26 30 123
13 32 319
41 45 860
48 23 236
17 31 384
47 5 38
48 52 245
9 12 402
33 12 189
10 14 156
9 40 670
18 39 731
6 11 722
45 3 470
10 19 507
51 53 943
5 32 780
49 40 661
26 4 344
21 13 100
1 21 456
10 25 334
37 30 197
40 6 151
24 3 605
12 53 869
5 2 610
36 51 506
23 8 240
22 28 822
21 15 660
46 11 874
41 47 136
34 18 951
30 42 908
44 40 742
29 44 139
3 11 46
3 34 513
49 42 432
53 7 606
9 39 56
44 11 512
54 45 751
2 19 539
6 49 734
8 9 629
11 11 5
38 55 873
30 36 281
36 33 272
1 28 357
31 16 869
39 15 653
9 3 563
8 8 203
33 15 441
46 12 238
2 49 100
46 23 265
21 45 259
44 45 741
50 7 936
41 32 332
20 28 879
18 22 837
37 54 298
23 31 50
47 33 488
16 23 478
7 44 97
17 19 304
54 14 800
52 41 154
8 5 411
9 9 462
17 46 40
39 55 125
18 46 74
33 49 759
15 42 107
41 4 797
44 2 482
41 53 382
14 48 502
14 43 755
22 4 697
41 29 416
22 34 854
23 11 757
46 25 93
44 52 473
5 28 285
22 55 519
23 55 508
16 55 130
31 21 573
9 48 487
55 1 920
23 23 712
39 13 988
28 1 844
21 48 288
2 14 767
22 23 138
35 39 107
34 1 487
24 9 669
42 50 130
38 17 294
44 42 217
6 2 59
6 22 618
21 10 23
34 31 656
47 52 721
3 31 973
35 41 108
45 27 543
1 51 481
35 39 680
13 31 231
33 23 959
46 30 500
3 9 20
25 55 732
17 44 764
9 10 41
39 55 49
8 42 59
35 21 134
49 20 261
51 40 635
6 30 545
25 19 108
7 31 814
40 47 417
35 43 757
2 13 853
50 20 834
25 41 347
38 22 958
55 17 727
39 10 271
53 21 317
20 27 519
15 53 597
12 19 876
5 20 463
52 14 604
17 38 780
45 7 21
38 6 909
14 32 755
7 29 706
18 36 484
33 50 822
39 48 185
20 52 967
12 35 510
53 39 930
37 28 6
29 10 704
24 24 305
29 30 705
54 34 660
37 11 687
5 49 201
47 55 608
53 12 814
4 51 302
48 32 770
31 47 174
19 15 594
25 43 300
46 41 608
48 10 740
44 14 941
19 47 85
33 44 988
14 35 253
45 27 11
49 2 282
50 7 327
5 18 899
45 9 57
7 1 283
9 31 398
4 36 940
53 1 225
46 14 764
20 3 838
26 39 451
22 20 308
33 24 767
19 13 182
32 7 564
54 15 599
21 18 192
22 2 597
12 34 980
22 54 994
4 24 57
30 45 46
49 10 907
17 15 234
49 33 692
12 18 316
48 25 750
51 47 79
12 45 937
28 53 930
46 2 420
35 18 985
42 53 6
18 14 382
49 49 169
30 48 353
13 40 627
54 22 283
42 33 249
9 47 937
15 37 535
45 3 142
51 45 769
11 49 534
14 42 268
49 4 885
46 3 336
12 1 812
12 43 261
42 38 662
28 52 360
2 41 413
35 23 569
10 20 382
74
33 1
36 26
46 10
3 48
52 2
48 18
13 22
3 41
4 21
14 43
20 2
28 9
24 51
42 33
15 1
31 35
1 53
47 46
49 50
25 45
51 17
7 50
26 51
35 29
16 35
16 36
24 31
31 47
13 18
11 14
18 29
35 5
26 27
37 20
8 6
9 3
9 3
39 34
53 5
50 1
27 52
36 50
14 11
28 13
15 38
14 19
11 48
23 24
6 46
30 13
51 25
15 47
27 40
12 12
45 48
12 16
45 34
52 45
31 24
45 46
48 3
9 46
50 19
14 43
51 43
55 34
12 2
25 26
41 36
37 17
16 35
32 5
13 15
36 43
0 0
